seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
0,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.8518518518518519,0.5,0.6642857142857143,0.7570422535211268,0.0063181764233579685,0.7771449579959153
0,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.8518518518518519,0.5,0.6446428571428572,0.7147887323943662,0.011858712905622681,0.268660000001546
0,20,12,1,student_t,lbfgs_smooth,0.0,True,0.8518518518518519,0.5,0.6125,0.721830985915493,0.006497848797167194,0.22982154099736363
0,20,12,1,student_t,lbfgs_smooth,0.08,True,0.8518518518518519,0.5,0.5535714285714286,0.7676056338028169,0.006574729021219028,0.2511107919999631
0,20,12,1,gaussian,admm,0.0,True,0.8518518518518519,0.5,0.4875,0.9190140845070423,0.006805088874481058,0.5089313749995199
0,20,12,1,gaussian,admm,0.08,True,0.8518518518518519,0.5,0.4785714285714286,0.647887323943662,0.005082551599540963,0.5776385409990326
0,20,12,1,student_t,admm,0.0,True,0.8518518518518519,0.5,0.5642857142857143,0.8274647887323944,0.0042522186997775435,0.5232517499971436
0,20,12,1,student_t,admm,0.08,True,0.8518518518518519,0.5,0.5080357142857143,0.625,0.004363263829581854,0.5086772089998703
1,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.6666666666666666,0.5,0.725,0.3345070422535211,0.006463456992122474,0.3059365830049501
1,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.6666666666666666,0.5,0.6625,0.22183098591549297,0.006215025233991867,0.2941797500025132
1,20,12,1,student_t,lbfgs_smooth,0.0,True,0.6666666666666666,0.5,0.725,0.352112676056338,0.007083232417436136,0.4063838329966529
1,20,12,1,student_t,lbfgs_smooth,0.08,True,0.6666666666666666,0.5,0.6535714285714286,0.2887323943661972,0.00682239538308238,0.3618107910006074
1,20,12,1,gaussian,admm,0.0,True,0.6666666666666666,0.5,0.3678571428571429,0.573943661971831,0.006626141627341653,0.4424504580019857
1,20,12,1,gaussian,admm,0.08,True,0.6666666666666666,0.5,0.5294642857142857,0.5,0.006835089845830922,0.45637504100159276
1,20,12,1,student_t,admm,0.0,True,0.6666666666666666,0.5,0.5660714285714286,0.5563380281690141,0.003301060561508251,0.45108583299588645
1,20,12,1,student_t,admm,0.08,True,0.6666666666666666,0.5,0.5375,0.3591549295774648,0.0034139547880744914,0.5103159999998752
2,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.3333333333333333,0.5,0.39107142857142857,0.602112676056338,0.0066870647558872065,0.2956972499960102
2,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.3333333333333333,0.5,0.6607142857142857,0.4119718309859155,0.005858877466335954,0.33574429199506994
2,20,12,1,student_t,lbfgs_smooth,0.0,True,0.3333333333333333,0.5,0.45357142857142857,0.6056338028169014,0.006201826302953961,0.29169137500139186
2,20,12,1,student_t,lbfgs_smooth,0.08,True,0.3333333333333333,0.5,0.7196428571428571,0.528169014084507,0.005950152149758026,0.24751295799796935
2,20,12,1,gaussian,admm,0.0,True,0.3333333333333333,0.5,0.1875,0.3732394366197183,0.004477955451347881,0.37616354200144997
2,20,12,1,gaussian,admm,0.08,True,0.3333333333333333,0.5,0.6169642857142857,0.38380281690140844,0.004689014140094372,0.3921918749983888
2,20,12,1,student_t,admm,0.0,True,0.3333333333333333,0.5,0.24464285714285713,0.38028169014084506,0.004296925190327983,0.3945538330008276
2,20,12,1,student_t,admm,0.08,True,0.3333333333333333,0.5,0.5401785714285714,0.3908450704225352,0.0044049012810738475,0.39266129200404976
3,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.7647058823529411,0.5,0.5553571428571429,0.2711267605633803,0.00598902609404206,0.2795355840062257
3,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.7647058823529411,0.5,0.6214285714285714,0.27816901408450706,0.00552636984905952,0.26528150000376627
3,20,12,1,student_t,lbfgs_smooth,0.0,True,0.7647058823529411,0.5,0.43392857142857144,0.22535211267605634,0.004441895399430962,0.2637079170017387
3,20,12,1,student_t,lbfgs_smooth,0.08,True,0.7647058823529411,0.5,0.4642857142857143,0.3204225352112676,0.004198784122394272,0.24611287500010803
3,20,12,1,gaussian,admm,0.0,True,0.7647058823529411,0.5,0.6964285714285714,0.43661971830985913,0.006354035574538841,0.4543792909971671
3,20,12,1,gaussian,admm,0.08,True,0.7647058823529411,0.5,0.6553571428571429,0.522887323943662,0.004304625677660212,0.41369095900154207
3,20,12,1,student_t,admm,0.0,True,0.7647058823529411,0.5,0.7392857142857143,0.4894366197183099,0.004011006295456809,0.48241533400141634
3,20,12,1,student_t,admm,0.08,True,0.7647058823529411,0.5,0.7919642857142857,0.6214788732394366,0.003308903912575545,0.4956457079970278
4,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.5178571428571429,0.5633802816901409,0.0053750491708530745,0.2884890420027659
4,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.7777777777777778,0.5,0.5803571428571429,0.5316901408450704,0.0056733718041002135,0.26736433299811324
4,20,12,1,student_t,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.5446428571428571,0.5915492957746479,0.006557422124721768,0.2906688339935499
4,20,12,1,student_t,lbfgs_smooth,0.08,True,0.7777777777777778,0.5,0.575,0.6267605633802817,0.011687388511942842,0.2618034170009196
4,20,12,1,gaussian,admm,0.0,True,0.7777777777777778,0.5,0.8,0.3380281690140845,0.005024140543516964,0.40424883399828104
4,20,12,1,gaussian,admm,0.08,True,0.7777777777777778,0.5,0.7330357142857142,0.5422535211267606,0.004193147402073549,0.4430429580024793
4,20,12,1,student_t,admm,0.0,True,0.7777777777777778,0.5,0.8875,0.44014084507042256,0.004579828104766648,0.46000133399502374
4,20,12,1,student_t,admm,0.08,True,0.7777777777777778,0.5,0.6535714285714286,0.6073943661971831,0.003755004698044573,0.4290054169978248
5,20,12,1,gaussian,lbfgs_smooth,0.0,True,0.7083333333333334,0.5,0.5839285714285715,0.2711267605633803,0.00679884972025846,0.28544941699510673
5,20,12,1,gaussian,lbfgs_smooth,0.08,True,0.7083333333333334,0.5,0.6267857142857143,0.3380281690140845,0.0062171270800739364,0.3178259169944795
