seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
2,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.7142857142857143,0.5,0.7089285714285715,0.3767605633802817,0.006241660665255111,0.23529833299835445
2,50,12,1,student_t,lbfgs_smooth,0.0,True,0.7142857142857143,0.5,0.7910714285714285,0.3732394366197183,0.0056497834123234725,0.26946412499819417
2,50,12,1,student_t,lbfgs_smooth,0.05,True,0.7142857142857143,0.5,0.8071428571428572,0.36619718309859156,0.005713638506238183,0.24071204099891474
2,50,12,1,gaussian,admm,0.0,True,0.7142857142857143,0.5,0.8892857142857142,0.4225352112676056,0.004222365860151456,0.3113449579977896
2,50,12,1,gaussian,admm,0.05,True,0.7142857142857143,0.5,0.9321428571428572,0.6602112676056338,0.0039656344161898005,0.297958249997464
2,50,12,1,student_t,admm,0.0,True,0.7142857142857143,0.5,0.9267857142857143,0.4507042253521127,0.004189890119906892,0.35776720799913164
2,50,12,1,student_t,admm,0.05,True,0.7142857142857143,0.5,0.9607142857142857,0.647887323943662,0.0037488848631497262,0.2924512079989654
3,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.8235294117647058,0.5,0.525,0.5704225352112676,0.006372342061098379,0.2789997500003665
3,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.8235294117647058,0.5,0.525,0.5845070422535211,0.006360108706020995,0.2403530410010717
3,50,12,1,student_t,lbfgs_smooth,0.0,True,0.8235294117647058,0.5,0.6089285714285714,0.6830985915492958,0.0059516867473234925,0.24107516599906376
3,50,12,1,student_t,lbfgs_smooth,0.05,True,0.8235294117647058,0.5,0.6107142857142858,0.6830985915492958,0.0059223002488195675,0.2522620419986197
3,50,12,1,gaussian,admm,0.0,True,0.8235294117647058,0.5,0.5607142857142857,0.6056338028169014,0.0041928341687569315,0.32234408300428186
3,50,12,1,gaussian,admm,0.05,True,0.8235294117647058,0.5,0.6196428571428572,0.6443661971830986,0.003740832315861198,0.30445879099715967
3,50,12,1,student_t,admm,0.0,True,0.8235294117647058,0.5,0.8196428571428571,0.6373239436619719,0.0037235219639484285,0.3418895840004552
3,50,12,1,student_t,admm,0.05,True,0.8235294117647058,0.5,0.8883928571428571,0.676056338028169,0.0017011194888922887,0.31673350000346545
4,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.49107142857142855,0.6690140845070423,0.00672250500655025,0.27794983399508055
4,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.7777777777777778,0.5,0.4982142857142857,0.6654929577464789,0.006712133687766908,0.27434166699822526
4,50,12,1,student_t,lbfgs_smooth,0.0,True,0.7777777777777778,0.5,0.22678571428571428,0.6866197183098591,0.006266380688556339,0.250894500000868
4,50,12,1,student_t,lbfgs_smooth,0.05,True,0.7777777777777778,0.5,0.24107142857142858,0.6866197183098591,0.006280553553180468,0.2795383749980829
4,50,12,1,gaussian,admm,0.0,True,0.7777777777777778,0.5,0.6910714285714286,0.6795774647887324,0.004194195949416724,0.30153229200368514
4,50,12,1,gaussian,admm,0.05,True,0.7777777777777778,0.5,0.8169642857142857,0.3732394366197183,0.003743064948531938,0.29128433400182985
4,50,12,1,student_t,admm,0.0,True,0.7777777777777778,0.5,0.7357142857142858,0.6725352112676056,0.004024911576117063,0.3065560410032049
4,50,12,1,student_t,admm,0.05,True,0.7777777777777778,0.5,0.8553571428571428,0.4119718309859155,0.003737884842346162,0.32521299999643816
5,50,12,1,gaussian,lbfgs_smooth,0.0,True,1.0,0.5,0.6964285714285714,0.5352112676056338,0.006557139348840835,0.2728411670032074
5,50,12,1,gaussian,lbfgs_smooth,0.05,True,1.0,0.5,0.7053571428571429,0.5352112676056338,0.006600995076178506,0.237519667003653
5,50,12,1,student_t,lbfgs_smooth,0.0,True,1.0,0.5,0.49107142857142855,0.5352112676056338,0.0065023352340034535,0.27267945899802726
5,50,12,1,student_t,lbfgs_smooth,0.05,True,1.0,0.5,0.5017857142857143,0.5387323943661971,0.006505794483658178,0.2764462499981164
5,50,12,1,gaussian,admm,0.0,True,1.0,0.5,0.6017857142857143,0.5105633802816901,0.0045021290900084665,0.35355587500089314
5,50,12,1,gaussian,admm,0.05,True,1.0,0.5,0.7598214285714285,0.6426056338028169,0.004389468839704591,0.34128695799881825
5,50,12,1,student_t,admm,0.0,True,1.0,0.5,0.6892857142857143,0.5176056338028169,0.004138725677004018,0.320987208004226
5,50,12,1,student_t,admm,0.05,True,1.0,0.5,0.8330357142857143,0.6514084507042254,0.002152262893963197,0.3522834999967017
6,50,12,1,gaussian,lbfgs_smooth,0.0,True,1.0,0.5,0.3625,0.3028169014084507,0.006698442583271458,0.26845804099866655
6,50,12,1,gaussian,lbfgs_smooth,0.05,True,1.0,0.5,0.37142857142857144,0.2746478873239437,0.0066622845605319725,0.27966062500490807
6,50,12,1,student_t,lbfgs_smooth,0.0,True,1.0,0.5,0.5482142857142858,0.397887323943662,0.00615304555192786,0.2986514160002116
6,50,12,1,student_t,lbfgs_smooth,0.05,True,1.0,0.5,0.5410714285714285,0.3873239436619718,0.006363612587543699,0.289323584001977
6,50,12,1,gaussian,admm,0.0,True,1.0,0.5,0.625,0.29577464788732394,0.004717722871250274,0.3373042919993168
6,50,12,1,gaussian,admm,0.05,True,1.0,0.5,0.53125,0.39436619718309857,0.004212017102265264,0.31288191699422896
6,50,12,1,student_t,admm,0.0,True,1.0,0.5,0.6303571428571428,0.5845070422535211,0.004079155422948233,0.3690349160024198
6,50,12,1,student_t,admm,0.05,True,1.0,0.5,0.5741071428571428,0.40492957746478875,0.003987368375206302,0.3176707919992623
7,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.42857142857142855,0.5,0.4,0.5845070422535211,0.006807889420176849,0.29333516599581344
7,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.42857142857142855,0.5,0.3767857142857143,0.5669014084507042,0.00681163969690779,0.26011475000268547
7,50,12,1,student_t,lbfgs_smooth,0.0,True,0.42857142857142855,0.5,0.6910714285714286,0.5,0.006100313137352487,0.28705333399557276
7,50,12,1,student_t,lbfgs_smooth,0.05,True,0.42857142857142855,0.5,0.6964285714285714,0.5105633802816901,0.006080289987666632,0.26328491699678125
7,50,12,1,gaussian,admm,0.0,True,0.42857142857142855,0.5,0.4642857142857143,0.5352112676056338,0.004325210030179605,0.3455937079997966
