solver,loss,fusion,n_fits,auroc_w_mean,auroc_w_se,auroc_a_mean,auroc_a_se,max_h_mean,seconds_mean
admm,gaussian,fused,24,0.7935267857142857,0.03236946241249731,0.5773180751173709,0.03019833075756369,0.004271113297624529,0.3594962865402825
admm,gaussian,indep,24,0.7143973214285714,0.02972197336578656,0.6007922535211268,0.03298793195774901,0.004532749366034687,0.3486239497497081
admm,student_t,fused,24,0.8530505952380952,0.031108491563552745,0.6162705399061033,0.03399972852486665,0.003631565444091045,0.34316933508307557
admm,student_t,indep,24,0.8377604166666667,0.026517020561701077,0.6603579812206573,0.029311944845027395,0.003999943507519828,0.35077881762723945
lbfgs_smooth,gaussian,fused,24,0.5824404761904762,0.0332363157607684,0.5607394366197183,0.04067186375787997,0.006788979193824263,0.28292527941630397
lbfgs_smooth,gaussian,indep,24,0.5839285714285715,0.03300702408149448,0.5629401408450704,0.0395883226152663,0.00678392579572266,0.29847178479121794
lbfgs_smooth,student_t,fused,24,0.6258184523809524,0.031473795507802015,0.5737969483568075,0.03266010583990894,0.006198144784324529,0.2847628299162655
lbfgs_smooth,student_t,indep,24,0.6171875,0.032723825088427506,0.5689553990610329,0.03323373507606104,0.0061869611237927264,0.2976607431252584
