solver,loss,fusion,n_fits,auroc_w_mean,auroc_w_se,auroc_a_mean,auroc_a_se,max_h_mean,seconds_mean
admm,gaussian,fused,24,0.626078869047619,0.02726923931735535,0.5130575117370892,0.025032608961136998,0.004715591679998206,0.40723639399948297
admm,gaussian,indep,24,0.5651785714285714,0.03336457100715624,0.5088028169014085,0.041268330378328284,0.005117217464555512,0.4026598037911147
admm,student_t,fused,24,0.6624255952380952,0.027026229779105904,0.494131455399061,0.02617258473050213,0.0035224911358803603,0.4106654305833217
admm,student_t,indep,24,0.6657738095238095,0.032781474178186075,0.49259096244131456,0.040395768724026726,0.003939427346964989,0.4201086476247535
lbfgs_smooth,gaussian,fused,24,0.5616815476190476,0.03159634659606781,0.45422535211267606,0.038873631410527375,0.006540397528431645,0.26897924645921495
lbfgs_smooth,gaussian,indep,24,0.5376488095238096,0.0308995651224014,0.46273474178403756,0.037277310791928184,0.006412539643253723,0.2883042171242778
lbfgs_smooth,student_t,fused,24,0.5369047619047619,0.03214297695706525,0.46625586854460094,0.04362757249094728,0.0067162589943441375,0.26822060579191503
lbfgs_smooth,student_t,indep,24,0.5244047619047619,0.028683355645005564,0.44366197183098594,0.04759612572047054,0.006561024530030639,0.2683181806241919
